cibil_score,annual_income,employment_years,loan_amount,loan_term_months,residential_assets,commercial_assets,existing_liabilities,loan_status
353,1723952,25.6,3804560,48,7125362,4163410,2142698,1
765,4245114,7.2,1148331,24,600446,2068560,2103477,0
693,369349,16.2,1631415,48,2210831,4361565,1057614,0
563,2342670,5.5,152611,12,7927776,3257741,1280462,0
560,4044612,14.9,3214754,60,3872997,4894448,1319964,0
816,4774281,4.6,3113838,36,1398189,4613295,1807429,0
351,1406804,4.8,131478,36,3309940,4798558,2155146,0
719,3323814,18.4,2824392,24,2042468,1962189,596400,0
421,1110488,7.9,1676933,36,4202294,3169070,682363,0
356,756314,5.2,2204692,36,1887326,836367,145190,1
616,1894507,27.9,912424,24,3194647,4471359,1579033,0
886,4448447,1.3,3270604,120,7263532,1590095,2006404,0
742,3509483,17.0,1647404,24,658941,2240042,630264,0
757,2548473,16.4,3368334,24,6109507,2971490,2135463,0
731,1557528,7.5,635672,48,625522,3936678,9232,0
772,879867,13.6,2372218,36,3658638,3658666,2599454,1
608,1499671,2.6,1275110,48,5346662,4776673,2070791,0
376,932912,21.6,3865415,84,7643385,3564912,2049803,1
804,1098011,6.7,2249700,12,2000659,3981393,2121795,1
570,3500163,5.8,2892862,48,422267,2862273,1075912,1
600,836953,9.4,390444,12,6006790,2078827,2987169,0
522,427388,27.1,2723658,12,7149363,4566700,2239713,1
409,2803234,23.9,449258,12,4520461,1888796,543046,0
856,1575650,28.4,1477616,24,483418,3101586,2767208,0
769,2382681,19.6,928789,36,4005373,1457714,2218741,0
686,870980,19.9,58921,120,3129045,2411951,932650,0
541,1207893,14.4,2365837,120,3611848,1835317,2843903,1
794,2317172,27.2,1001723,12,432039,1291823,745093,0
627,3512108,15.3,2074693,120,2538817,4102884,1933741,0
566,2188898,10.7,3067486,60,7991752,3836411,2010381,0
570,2800238,19.2,753723,48,366359,3507502,2889422,0
436,2705007,16.4,2853992,84,7315116,415094,1710303,1
