2026-09-02 12:27:02 | INFO     | src.database.db | Database initialized at data\loanguard.db
2026-09-02 12:28:10 | INFO     | src.database.db | Database initialized at data\loanguard.db
2026-09-02 12:28:29 | INFO     | src.database.db | Database initialized at data\loanguard.db
2026-09-02 12:29:53 | INFO     | src.rag.vectorstore | Building FAISS index from bank policy PDF...
2026-09-02 12:29:54 | INFO     | src.rag.loader | Loaded 2 pages -> 7 chunks from C:\Users\rajki\OneDrive\Desktop\Projects\loan_guard_enterprise_ai\data\bank_policy.pdf
2026-09-02 12:29:55 | INFO     | src.rag.vectorstore | FAISS index built and saved to data\faiss_index
2026-09-02 12:31:07 | INFO     | src.database.db | Database initialized at data\loanguard.db
2026-09-02 12:31:18 | INFO     | src.database.db | Database initialized at data\loanguard.db
2026-09-02 12:38:47 | INFO     | src.database.db | Database initialized at data\loanguard.db
2026-09-02 12:39:43 | INFO     | src.utils.language | Language detected via langdetect: en
2026-09-02 12:39:53 | INFO     | src.rag.vectorstore | Loading cached FAISS index from data\faiss_index
2026-09-02 12:41:50 | INFO     | src.database.db | Database initialized at data\loanguard.db
2026-09-02 12:42:57 | INFO     | src.utils.language | Language detected via langdetect: en
2026-09-02 12:43:07 | INFO     | src.rag.vectorstore | Loading cached FAISS index from data\faiss_index
2026-09-02 12:47:36 | INFO     | src.database.db | Database initialized at data\loanguard.db
2026-09-02 12:48:52 | INFO     | src.utils.language | Language detected via langdetect: en
2026-09-02 12:49:02 | INFO     | src.rag.vectorstore | Loading cached FAISS index from data\faiss_index
2026-09-02 12:49:03 | INFO     | src.rag.multilingual_chat | Multilingual RAG answer grounded=True lang=en
2026-09-02 12:49:04 | INFO     | src.voice.tts | Synthesized 57 chars of speech in lang=en
2026-09-02 12:50:40 | INFO     | src.database.db | Database initialized at data\loanguard.db
2026-09-02 12:50:52 | INFO     | src.database.db | Database initialized at data\loanguard.db
2026-09-02 12:51:25 | INFO     | src.voice.tts | Synthesized 228 chars of speech in lang=te
2026-09-02 12:52:01 | INFO     | src.database.db | Database initialized at data\loanguard.db
2026-09-02 12:52:05 | INFO     | src.database.db | Database initialized at data\loanguard.db
2026-09-02 12:52:20 | INFO     | src.voice.tts | Synthesized 233 chars of speech in lang=ta
2026-09-02 12:58:02 | INFO     | src.database.db | Database initialized at data\loanguard.db
2026-09-02 13:00:37 | INFO     | src.voice.stt | faster-whisper model loaded (size=small).
2026-09-02 13:00:37 | WARNING  | src.voice.stt | Transcription failed ([Errno 13] Permission denied: 'C:\\Users\\rajki\\AppData\\Local\\Temp\\tmp1lrt0f99.wav').
2026-09-02 13:01:08 | WARNING  | src.voice.stt | Transcription failed ([Errno 13] Permission denied: 'C:\\Users\\rajki\\AppData\\Local\\Temp\\tmpv926ecsh.wav').
2026-09-02 13:01:30 | WARNING  | src.voice.stt | Transcription failed ([Errno 13] Permission denied: 'C:\\Users\\rajki\\AppData\\Local\\Temp\\tmpn20ztes8.wav').
